ID	ZT00	ZT06	ZT12	ZT18
FBgn0000479	6.192	8.599	6.427	6.015
FBgn0000479	7.828	5.887	5.513	5.663
FBgn0000479	5.287	4.461	4.236	6.629
FBgn0000479	5.27	5.424	4.588	4.409
FBgn0000489	13.798	14.497	19.198	26.996
FBgn0000490	5.03	3.807	4.415	4.713
FBgn0000490	4.539	4.036	3.583	4.398
FBgn0000499	6.656	7.339	6.915	6.786
FBgn0000500	1.114	1.002	0.968	2.088
FBgn0000504	11.503	20.857	18.057	9.709
FBgn0000524	2.331	2.614	2.112	2.959
FBgn0000535	0.185	0.095	0.09	0.023
FBgn0000536	56.108	39.864	66.741	30.155
FBgn0000536	55.563	123.598	101.196	73.065
FBgn0000536	52.471	94.689	67.914	116.28
FBgn0000536	75.28	127.53	104.229	57.141
FBgn0000541	3.635	5.024	5.066	4.466
FBgn0000541	4.748	5.369	5.397	3.912
FBgn0000542	0.4	0.76	0.635	0.583
FBgn0000547	2.186	2.138	4.208	2.47
FBgn0000547	1.711	3.456	1.726	2.06
FBgn0000557	6.306	6.863	6.494	7.284
FBgn0000560	0.145	0.272	0.311	0.572
FBgn0000560	0.219	0.524	0.331	0.113
FBgn0000564	0.194	0.47	0.06	0.25
FBgn0000565	64.269	65.293	48.904	80.932
FBgn0000565	53.367	88.338	70.312	71.524
FBgn0000565	47.66	62.941	77.126	62.409
FBgn0000565	53.361	70.898	69.844	86.361
FBgn0000567	3.009	4.146	3.126	3.154
FBgn0000567	3.362	4.535	3.245	3.393
FBgn0000568	23.395	23.049	25.551	23.099
FBgn0000568	18.545	17.597	17.401	17.952
FBgn0000577	0.329	0.427	0.12	0.425
FBgn0000577	0.4	0.323	0.391	0.121
FBgn0000578	6.24	5.403	4.085	6.041
FBgn0000578	5.441	5.672	4.88	3.683
FBgn0000579	430.22	426.139	419.484	405.72
FBgn0000579	359.735	362.511	345.088	356.589
FBgn0000579	444.865	433.627	419.631	440.504
FBgn0000579	363.547	373.241	370.324	350.915
FBgn0000581	4.008	3.861	4.789	3.552
FBgn0000581	3.1	3.411	4.239	3.547
FBgn0000581	4.781	3.856	3.53	3.983
FBgn0000581	3.649	3.194	4.334	3.487
FBgn0000591	0.626	0.353	0.055	0.686
FBgn0000592	182.835	159.446	237.388	310.212
FBgn0000594	4.022	3.794	5.002	5.371
FBgn0000606	0.047	0.193	0.218	0.09
FBgn0000611	31.278	31.465	31.575	33.473
FBgn0000615	25.21	8.373	5.509	4.093
FBgn0000618	19.008	13.001	17.959	17.274
FBgn0000625	0.112	0.346	0.273	0.221
FBgn0000625	0.227	0.28	0.115	0.356
FBgn0000633	0.228	0.255	0.332	0.064
FBgn0000635	7.715	6.701	7.217	4.444
FBgn0000635	6.208	5.677	3.776	5.98
FBgn0000635	6.121	3.874	6.368	5.81
FBgn0000636	9.631	3.493	2.675	3.675
FBgn0000636	4.58	3.46	12.829	4.172
FBgn0000636	3.808	10.546	2.948	3.965
FBgn0000636	15.226	3.192	4.271	4.023
FBgn0000659	12.082	0.413	0.09	0.426
FBgn0000662	16.216	12.271	14.876	13.665
FBgn0000667	39.337	34.695	49.359	56.847
FBgn0000667	29.7	42.013	33.555	48.644
FBgn0000667	37.538	53.874	46.839	32.94
FBgn0000709	4.895	5.371	4.942	4.024
FBgn0000711	14.305	12.065	15.346	17.974
FBgn0000719	9.075	9.01	10.17	10.135
FBgn0000719	6.796	6.805	7.719	7.704
FBgn0000719	7.879	8.836	8.858	7.838
FBgn0000719	6.133	7.005	6.825	6.22
FBgn0000721	61.381	62.522	60.105	62.867
FBgn0000721	61.886	59.935	60.372	58.504
FBgn0000721	61.956	59.253	61.491	60.414
FBgn0000721	55.638	55.644	53.119	54.277
FBgn0000721	63.494	63.998	62.053	65.094
FBgn0000721	60.635	63.317	61.809	63.011
FBgn0000723	13.709	13.992	24.648	14.119
FBgn0000808	0.866	0.438	0.682	0.544
FBgn0000927	0.282	0.588	0.094	0.371
FBgn0000996	1.575	1.433	1.407	1.396
FBgn0001079	2.19	2.053	2.134	2.288
FBgn0001083	0.333	0.39	1.038	0.411
FBgn0001084	1.82	1.27	1.287	1.378
FBgn0001084	1.363	1.899	1.504	1.386
FBgn0001085	1.151	0.733	0.973	1.396
FBgn0001086	1.621	2.918	4.188	1.44
FBgn0001087	6.683	6.785	7.325	6.105
FBgn0001087	6.755	7.461	6.171	6.999
FBgn0001091	462.361	330.345	403.093	372.086
FBgn0001092	420.889	364.893	416.124	349.932
FBgn0001092	441.091	366.706	382.433	436.127
FBgn0001098	106.538	122.97	173.884	132.886
FBgn0001098	123.728	109.186	175.563	136.411
FBgn0001099	11.111	4.77	6.314	5.08
FBgn0001105	39.004	35.579	31.448	34.983
FBgn0001105	26.801	30.862	28.926	24.137
FBgn0001105	37.075	37.675	33.299	41.28
FBgn0001105	35.62	39.05	31.478	35.076
FBgn0001112	1.026	17.466	15.051	1.385
FBgn0001114	47.959	67.715	38.918	61.768
FBgn0001122	14.11	10.392	13.882	10.629
FBgn0001122	17.747	14.418	12.409	17.231
FBgn0001122	14.334	10.823	10.581	14.161
FBgn0001122	10.361	10.354	14.439	13.922
FBgn0001123	35.695	30.204	31.228	33.85
FBgn0001123	29.964	31.501	26.682	27.573
FBgn0001125	549.525	582.111	643.716	429.403
FBgn0001125	660.426	562.631	439.055	597.312
FBgn0001128	182.905	397.774	272.991	343.408
FBgn0001128	393.987	332.297	292.64	191.271
FBgn0001128	173.054	311.79	258.644	364.362
FBgn0001133	15.943	13.551	14.447	12.818
FBgn0001137	61.75	52.314	62.594	64.771
FBgn0001138	0.061	0.191	0.305	0.118
FBgn0001138	0.289	0.193	0.11	0.052
FBgn0001139	12.348	12.906	14.18	12.169
FBgn0001139	13.346	11.234	11.646	11.468
FBgn0001139	11.078	11.23	13.008	11.439
FBgn0001139	11.181	11.359	10.884	13.062
FBgn0001139	11.26	13.181	11.451	11.002
FBgn0001139	11.763	11.523	11.285	13.443
FBgn0001145	157.89	102.65	142.829	85.104
FBgn0001148	0.052	0.508	0.483	0.94
FBgn0001149	714.076	772.906	681.159	770.095
FBgn0001149	1103.835	1015.495	1100.581	969.801
FBgn0001168	216.68	193.437	223.013	194.863
FBgn0001168	179.282	180.656	207.127	200.569
FBgn0001169	2.554	3.079	2.51	3.044
FBgn0001179	3.904	5.013	5.013	4.17
FBgn0001180	1.55	1.574	1.167	1.062
FBgn0001186	49.331	42.249	48.723	42.106
FBgn0001189	16.457	18.799	17.438	12.153
FBgn0001202	16.671	14.715	15.555	16.859
FBgn0001206	0.734	0.798	0.784	0.919
FBgn0001208	294.389	191.104	261.543	266.493
FBgn0001208	208.413	291.433	286.186	322.03
FBgn0001215	27.338	25.238	19.562	26.712
FBgn0001216	3.601	2.571	7.882	3.853
FBgn0001216	4.031	2.863	3.63	7.215
FBgn0001217	13.271	22.715	16.653	19.597
FBgn0001218	157.453	176.76	160.255	158.591
FBgn0001218	166.057	186.412	168.904	167.237
FBgn0001223	81.376	197.453	158.21	177.044
FBgn0001225	940.428	980.381	493.074	975.996
FBgn0001227	2.201	1.432	0.536	2.093
FBgn0001228	8.127	4.624	1.817	8.156
FBgn0001228	9.025	5.669	10.528	2.399
FBgn0001230	268.488	261.317	119.336	285.583
FBgn0001233	885.697	572.557	850.384	716.04
FBgn0001235	1.01	1.203	1.873	1.12
FBgn0001235	0.935	1.586	0.94	1.088
FBgn0001248	469.619	512.752	426.461	498.579
FBgn0001248	577.168	493.185	543.591	591.726
FBgn0001248	489.946	519.812	534.633	444.646
FBgn0001248	590.888	641.954	538.087	626.621
FBgn0001248	543.66	529.402	453.427	498.685
FBgn0001250	23.287	21.501	25.293	24.203
FBgn0001250	23.935	25.012	23.003	21.297
FBgn0001250	20.839	22.56	23.424	24.479
FBgn0001253	0.408	0.244	0.356	0.048
FBgn0001253	0.412	0.049	0.359	0.246
FBgn0001254	0.27	0.256	0.074	0.317
FBgn0001255	1.806	0.495	0.58	0.72
FBgn0001256	0.568	0.468	0.511	0.226
FBgn0001257	131.349	132.694	202.924	133.948
FBgn0001257	110.43	108.304	113.839	149.686
FBgn0001258	50.217	67.908	64.07	46.585
FBgn0001258	38.202	52.744	41.442	55.881
FBgn0001269	0.319	0.093	0.714	0.379
FBgn0001269	0.328	0.096	0.388	0.713
FBgn0001269	0.358	0.099	0.29	0.667
FBgn0001276	8.616	7.29	7.802	7.963
FBgn0001280	41.602	52.004	55.496	66.133
FBgn0001280	40.31	50.575	64.078	53.772
FBgn0001281	7.931	14.721	30.76	9.809
FBgn0001285	0.094	0.702	1.316	1.02
FBgn0001296	53.88	42.453	37.427	47.039
FBgn0001297	59.281	49.094	84.171	44.298
FBgn0001308	34.652	36.847	33.183	35.862
FBgn0001311	0.092	0.352	0.348	0.31
FBgn0001313	0.054	0.06	0.026	0.007
FBgn0001316	14.777	15.603	15.987	13.176
FBgn0001316	9.485	9.681	8.561	9.496
FBgn0001316	7.739	8.349	8.426	8.543
FBgn0001319	8.015	15.945	8.234	11.581
FBgn0001319	8.392	16.666	8.222	11.94
FBgn0001320	1.911	2.085	0.724	1.228
FBgn0001324	7.44	5.848	7.341	7.091
FBgn0001325	0.105	0.253	0.188	0.164
FBgn0001404	32.279	29.081	37.728	25.474
FBgn0001404	33.6	30.335	43.531	37.961
FBgn0001491	22.786	27.537	26.672	20.55
FBgn0001565	63.109	66.171	49.721	42.481
FBgn0001612	2.721	2.427	1.916	2.326
FBgn0001624	0.815	1.164	0.976	1.618
FBgn0001624	15.045	15.2	17.305	14.231
FBgn0001624	17.849	16.319	19.728	17.555
FBgn0001624	4.77	5.498	6.252	5.113
FBgn0001624	18.274	16.335	18.389	20.362
FBgn0001624	14.802	14.636	16.16	13.104
FBgn0001624	15.189	14.261	15.108	17.314
FBgn0001624	14.301	17.297	15.19	15.101
FBgn0001624	0.854	1.107	1.011	1.474
FBgn0001624	0.805	1.062	1.142	1.47
FBgn0001942	1035.373	1182.176	1232.265	1176.422
FBgn0001942	1079.079	1075.895	945.834	1122.184
FBgn0001942	1156.408	1315.791	1320.739	1375.134
FBgn0001942	1364.995	1368.648	1421.631	1193.714
FBgn0001967	0.264	0.74	0.819	0.789
FBgn0001970	3.559	3.616	3.653	3.32
FBgn0001974	5.512	5.613	5.394	5.783
FBgn0001978	11.325	11.611	9.345	8.249
FBgn0001978	11.552	8.218	11.278	9.308
FBgn0001981	1.213	0.093	0.652	0.515
FBgn0001983	0.142	0.294	0.114	0.295
FBgn0001986	4.356	3.634	4.657	4.526
FBgn0001987	2.354	3.575	7.191	3.53
FBgn0001987	2.479	3.732	7.539	3.683
FBgn0001987	3.85	7.628	3.821	2.521
FBgn0001989	129.137	124.414	97.87	107.603
FBgn0001989	54.813	65.465	49.977	63.615
FBgn0001990	4.276	4.578	5.036	5.615
FBgn0001991	3.169	2.69	2.567	3.251
FBgn0001991	3.214	3.106	4.116	3.777
FBgn0001991	2.88	3.65	2.766	3.412
FBgn0001991	3.024	3.565	3.731	2.917
FBgn0001991	3.43	2.794	3.686	2.915
FBgn0001991	3.222	2.529	3.117	2.656
FBgn0001991	3.629	3.455	2.955	2.83
FBgn0001991	2.65	2.533	3.13	3.23
FBgn0001992	1.249	0.732	0.857	0.778
FBgn0002022	38.489	45.093	44.292	38.05
FBgn0002023	0.148	0.383	0.441	0.316
FBgn0002023	0.372	0.422	0.44	0.116
FBgn0002023	0.127	0.331	0.373	0.438
FBgn0002023	0.367	0.438	0.141	0.436
FBgn0002031	68.512	70.29	57.606	43.305
FBgn0002036	10.42	11.701	10.992	15.89
FBgn0002044	11.389	11.917	11.282	11.881
FBgn0002069	68.341	52.02	58.621	69.996
FBgn0002121	18.524	22.095	22.525	25.474
FBgn0002121	22.008	24.875	21.624	18.105
FBgn0002121	24.218	21.053	17.627	21.427
FBgn0002121	25.019	21.76	18.231	22.185
FBgn0002121	17.965	24.739	21.445	21.798
FBgn0002121	23.859	20.629	20.975	17.298
FBgn0002121	21.154	21.509	24.467	17.739
FBgn0002174	18.472	16.167	23.638	19.639
FBgn0002174	18.154	22.108	26.678	20.877
FBgn0002183	7.529	8.033	7.309	7.371
FBgn0002283	10.674	10.129	12.116	9.29
FBgn0002306	0.907	1.09	0.853	2.009
FBgn0002354	14.551	21.862	21.971	17.14
FBgn0002413	12.417	12.382	12.025	13.896
FBgn0002413	15.11	14.412	17.203	16.071
FBgn0002413	15.859	14.439	17.229	14.901
FBgn0002440	0.091	0.434	0.17	0.234
FBgn0002466	0.314	0.208	0.216	0.076
FBgn0002466	0.313	0.076	0.215	0.208
FBgn0002521	10.026	13.187	14.062	11.531
FBgn0002525	5.299	5.004	6.793	6.038
FBgn0002525	6.122	6.956	7.888	5.731
FBgn0002526	11.008	9.604	12.533	12.041
FBgn0002531	0.413	0.171	0.622	0
FBgn0002533	0.184	0.428	0.177	0.316
FBgn0002534	0.258	0	0.343	0.265
FBgn0002535	0.417	0	0.344	0.081
FBgn0002542	1.594	2.974	1.84	2.124
FBgn0002543	1.636	2.094	2.417	2.006
FBgn0002552	3.336	3.261	3.998	3.924
FBgn0002563	0.745	1.345	0.771	2.121
FBgn0002565	12.989	18.969	31.565	4.452
FBgn0002566	15.702	14.96	19.391	17.468
FBgn0002566	13.027	10.53	10.106	11.61
FBgn0002567	20.693	11.47	10.983	12.971
FBgn0002567	6.139	7.483	7.018	12.344
FBgn0002567	10.44	11.035	12.558	19.754
FBgn0002573	0.214	0.242	0.258	0.017
FBgn0002576	0.854	0.833	0.983	0.634
FBgn0002577	0.283	0.135	0.08	0.075
FBgn0002579	2858.051	3032.273	2825.129	2932.264
FBgn0002590	1693.449	1656.554	1772.852	1740.012
FBgn0002609	1.176	1.614	0.648	1.173
FBgn0002626	1878.575	1996.1	1890.103	1908.765
FBgn0002632	0.278	0.346	0.116	0
FBgn0002638	9.213	11.022	9.312	10.406
FBgn0002643	6.708	6.041	5.671	4.364
FBgn0002643	3.452	3.445	3.4	2.734
FBgn0002645	17.108	20.338	21.521	19.779
FBgn0002645	17.901	21.081	20.289	23.013
FBgn0002673	0.905	1.575	0.853	1.12
FBgn0002707	1.14	1.14	1.477	0.822
FBgn0002709	2.009	1.425	1.21	1.477
FBgn0002715	1.804	1.266	2.389	1.431
FBgn0002716	2.442	2.584	3.432	2.315
FBgn0002719	813.651	548.221	743.158	358.665
FBgn0002723	2.417	2.539	2.361	1.405
FBgn0002732	0.669	0.389	1.073	0.125
FBgn0002734	0.401	0.083	0.648	0.39
FBgn0002735	0	0.149	0.384	0.289
FBgn0002772	1001.809	877.229	802.206	1276.22
FBgn0002773	1161.581	1325.229	1440.018	1812.149
FBgn0002774	7.881	7.276	6.683	6.914
FBgn0002778	8.584	10.658	36.939	23.58
FBgn0002781	11.904	13.09	12.992	14.082
FBgn0002781	14.348	13.18	13.956	15.398
FBgn0002781	14.07	12.895	12.287	11.347
FBgn0002781	14.872	13.503	14.658	16.533
FBgn0002781	13.555	12.228	15.033	13.538
FBgn0002781	12.754	12.301	13.908	11.33
FBgn0002781	17.089	14.932	16.918	18.16
FBgn0002781	15.503	14.258	16.053	17.292
FBgn0002781	14.279	16.355	15.495	14.626
FBgn0002781	13.972	15.143	12.762	13.758
FBgn0002781	15.706	14.112	15.962	17.434
FBgn0002781	35.595	36.155	32.166	38.396
FBgn0002781	15.078	18.431	16.766	16.336
FBgn0002781	25.164	28.228	27.077	29.895
FBgn0002781	17.936	14.383	16.296	16.08
FBgn0002781	25.308	28.009	23.583	26.045
FBgn0002781	27.083	29.731	31.663	28.918
FBgn0002781	19.385	19.016	17.36	21.345
FBgn0002783	8.604	7.257	8.995	7.849
FBgn0002783	7.617	7.154	8.741	8.375
FBgn0002787	130.352	106.923	74.064	59.692
FBgn0002789	657.812	591.096	1032.744	740.976
FBgn0002791	7.279	5.644	5.765	4.615
FBgn0002838	0.863	0.238	0.891	0.371
FBgn0002842	0.355	0.276	0.9	0.688
FBgn0002855	1.097	1.445	4.438	0.398
FBgn0002862	28.406	48.523	16.486	142.006
FBgn0002863	25.4	31.758	41.274	15.934
FBgn0002865	50.948	5.574	5.189	13.177
FBgn0002868	682.269	473.411	268.502	203.6
FBgn0002872	1.555	1.105	1.388	1.171
FBgn0002872	1.383	1.158	1.093	1.548
FBgn0002873	0.358	0.095	0.232	0.152
FBgn0002873	0.369	0.119	0.26	0.146
FBgn0002873	0.243	0.103	0.141	0.374
FBgn0002887	1.679	1.962	2.178	2.276
FBgn0002887	2.505	2.555	2.332	2.007
FBgn0002891	3.436	3.261	3.44	3.602
FBgn0002899	0.376	0.515	0.403	0.509
FBgn0002905	1.558	1.27	1.408	1.567
FBgn0002906	1.238	0.685	1.145	1.149
FBgn0002909	7.479	7.924	7.158	7.186
FBgn0002914	17.617	14.264	15.013	14.469
FBgn0002914	17.845	14.469	14.692	15.238
FBgn0002917	0.089	0.293	0.172	0.183
FBgn0002921	162.116	91.532	84.068	107.732
FBgn0002921	130.06	68.286	87.754	73.848
FBgn0002922	0.687	0.177	0.249	0.947
FBgn0002926	0.036	0.241	0.216	0.361
FBgn0002930	169.271	224.06	177.844	197.547
FBgn0002931	0.721	1.951	0.845	1.48
FBgn0002931	2.178	0.788	1.079	1.63
FBgn0002932	6.346	5.526	6.469	8.083
FBgn0002938	2.087	2.592	2.543	3.449
FBgn0002938	2.221	1.921	2.359	2.993
FBgn0002938	2.285	2.652	3.703	2.751
FBgn0002939	0.347	0.787	0.752	0.337
FBgn0002939	0.65	0.315	0.711	0.417
FBgn0002941	0.567	0.622	0.372	0.285
FBgn0002945	4.061	2.304	1.997	3.139
FBgn0002962	0.402	0.148	0.177	0.649
FBgn0002962	0.392	0.144	0.173	0.651
FBgn0002973	22.969	10.481	16.198	14.226
FBgn0002985	2.838	4.311	2.557	3.238
FBgn0003008	22.024	19.991	19.614	14.6
FBgn0003009	0.153	0.016	0.412	0.397
FBgn0003011	0.153	0.385	0.059	0.168
FBgn0003015	0.335	0.183	0.126	0.074
FBgn0003016	3.337	3.364	3.622	3.65
FBgn0003016	3.371	3.665	3.637	3.35
FBgn0003016	3.758	3.735	3.48	3.504
FBgn0003023	0.122	0.082	0.154	0.013
FBgn0003028	0.216	0.174	0.367	0.219
FBgn0003034	13.346	17.688	6.16	5.397
FBgn0003041	7.001	6.335	7.587	5.779
FBgn0003041	5.003	5.556	4.738	4.196
FBgn0003041	6.628	5.912	7.326	5.666
FBgn0003041	4.531	4.903	4.31	5.522
FBgn0003041	6.96	7.572	6.357	5.653
FBgn0003042	2.438	3.088	2.787	2.94
FBgn0003044	1.641	1.783	2.324	1.854
FBgn0003044	1.878	2.074	1.828	2.288
FBgn0003048	2.501	1.954	2.687	2.158
FBgn0003048	2.697	2.511	2.165	1.964
FBgn0003048	2.698	2.516	1.962	2.171
FBgn0003053	3.433	3.822	4.824	1.4
FBgn0003053	3.819	3.43	1.399	4.82
FBgn0003057	0.12	0.09	0.186	0
FBgn0003067	810.703	697.299	1702.286	836.29
